step,residual
0,0.059953775111809285
1,0.14142259203700713
2,0.11099595838826075
3,0.20134157678916725
4,0.3491543736561057
5,0.3105547710507764
6,0.4136682837888547
7,0.1740627999491456
8,0.06857044499015195
9,0.16557206073259248
10,0.22244592123842627
11,0.3679524349016743
12,0.23859122853818596
13,0.0989802681530216
14,0.043667094787334784
15,0.07642408837662426
16,0.10017417856531499
17,0.24304100550019284
18,0.25979498635510356
19,0.024950760201370353
20,0.15776880823638367
21,0.1901148399819102
22,0.02976417125240502
23,0.09996084566920664
24,0.11567495008572881
25,0.01928379111513827
26,0.10423759164807378
27,0.19027371877404697
28,0.3203021842497866
29,0.3404865619589864
30,0.3812299393065704
31,0.22315521695928697
32,0.14758331546472475
33,0.07065875142608138
34,0.07523486456033282
35,0.08100414415755706
36,0.016217066209387038
37,0.2022199585592579
38,0.23562166724335618
39,0.21127723130454346
40,0.22502168898527192
41,0.37582669144285563
42,0.25244352985734364
43,0.06731582139064629
44,0.07769188360824418
45,0.01850110461980007
46,0.04441327040279737
47,0.2101924514072355
48,0.05195677343438347
49,0.010362194405740169
50,0.062356883936558444
51,0.004388270556513321
52,0.09783838047719597
53,0.1723186377825358
54,0.15431416919106913
55,0.0423677005433621
56,0.00785307914104462
57,0.08041131099344452
58,0.08621800179431194
59,0.24613828716947134
60,0.08130376717010765
61,0.0278606358736328
62,0.09610728947527347
63,0.26404573401860365
64,0.31961735842924116
65,0.145293922124895
66,0.020905630376007844
67,0.030627781096579022
68,0.05563823815738961
69,0.07232115521927396
70,0.1088353408566552
71,0.06907207517441219
72,0.23641110996963594
73,0.35276512310619124
74,0.08319705588690887
75,0.17882934104661377
76,0.18330327078113212
77,0.012486536816085081
78,0.04382362554228427
79,0.05984445615699848
80,0.02332831126033847
81,0.11330702870783448
82,0.059695553185010033
83,0.2292828135564401
84,0.16491573337683466
85,0.10583868696910972
86,0.07070818098636164
87,0.00018182535716609188
88,0.09341538430471576
89,0.05994417528025455
90,0.02472880738642627
91,0.10807177365321888
92,0.23076929981637434
93,0.37304679089854675
94,0.49688598481487617
95,0.5691482343577479
96,0.2631092844405312
97,0.010716186003602385
98,0.020714417680952904
99,0.12802212559698561
100,0.20742202050764902
101,0.02707332382597316
102,0.06524674363604746
103,0.10777719285524004
104,0.005599670863645198
105,0.15268716462562293
106,0.28720086743842654
107,0.1012214461627938
108,0.08121160215035438
109,0.21394249815438648
110,0.07717665009953284
111,0.08166275747760383
112,0.05544315722157559
113,0.1042888884228344
114,0.020809755364625093
115,0.011043989618345585
116,0.15690342747817201
117,0.053257036136660024
118,0.19380946859094422
119,0.021782358529569612
120,0.11524032492081608
121,0.01972078628272335
122,0.12373073598754789
123,0.06366110140714498
124,0.11569465626673386
125,0.20267679020076418
126,0.1551110957463751
127,0.06413765354131869
128,0.12662360631269698
129,0.22083845969427923
130,0.08469834011943292
131,0.052040236583763
132,0.15691290709017758
133,0.1562751495917873
134,0.24885615392867874
135,0.07608612403628565
136,0.05297887048727283
137,0.03145150691453592
138,0.05357844286174253
139,0.21706845052166246
140,0.02657949990733996
141,0.0930416771259526
142,0.006842230382249848
143,0.1102719305582018
144,0.25987460449110006
145,0.06404552349138143
146,0.11093158640934606
147,0.1411864520355164
148,0.05865360396797385
149,0.1355048253076029
150,0.13965120431232067
151,0.1322755443166038
152,0.22973687207695845
153,0.28432696409345254
154,0.0827925567336456
155,0.10518553254600899
156,0.24478127757602366
157,0.0021589375144324963
158,0.06761866890577461
159,0.040904802339289684
160,0.0021552910794000596
161,0.02585529417392895
162,0.1972300753502716
163,0.19736794326043625
164,0.27239543492867635
165,0.22365989776265371
166,0.3124034739685574
167,0.11044448540912374
168,0.08219120487595205
169,0.25335146681466214
170,0.4023941608168204
171,0.14215066046340882
172,0.1338506533506663
173,0.25162016458526526
174,0.178548429689595
175,0.3121449834620812
176,0.14963856592250516
177,0.13658893328771382
178,0.14094326295667356
179,0.3002383563530024
180,0.1588738152802276
181,0.010982217666192284
182,0.07857753598557658
183,0.08516935815070856
184,0.26630456231765237
185,0.39597070619799124
186,0.2859795593544582
187,0.21078699441922388
188,0.2822578363148069
189,0.1318874923207063
190,0.2996335313684554
191,0.19129607268553075
192,0.20078946228126585
193,0.1984392312383892
194,0.057237524106161314
195,0.10625533513622128
196,0.19092271010860457
197,0.0826531466452476
198,0.028108474736187022
199,0.14815679539666032
200,0.2864808502210935
201,0.044873118867094636
202,0.17292540391788241
203,0.002747633685008216
204,0.03586914473159506
205,0.14843857505173075
206,0.07968771910065317
207,0.2631319516222995
208,0.03952280709510253
209,0.13236404264184287
210,0.032362112622215916
211,0.05411147798272239
212,0.025386906797810603
213,0.02137613584524972
214,0.12162652762986137
215,0.010824501788123178
216,0.126955921661084
217,0.0723177657657037
218,0.06696729882534651
219,0.0870427547767671
220,0.03732416995576267
221,0.07898135377477114
222,0.12524626802563038
223,0.07211797819214226
224,0.1081246533425036
225,0.08158348655654613
226,0.0997843464926913
227,0.04925892640212136
228,0.06854696583967211
229,0.102189858069123
230,0.033999282322457164
231,0.17086031680639216
232,0.0020492509498850897
233,0.040107838815826226
234,0.03208627105266098
235,0.025669016842128786
236,0.020535213473703032
237,0.016428170778962425
238,0.01314253662316994
239,0.010514029298535954
240,0.008411223438828764
241,0.006728978751063011
242,0.00538318300085041
243,0.004306546400680328
244,0.0034452371205442624
