step,residual
0,0.08861601293631303
1,0.049047687970971
2,0.15991942828277894
3,0.023023509643046364
4,0.04531198055241574
5,0.22491059383313008
6,0.34238464035681015
7,0.15841837183124285
8,0.06609750837588912
9,0.07308158078521605
10,0.060291229791396464
11,0.1462053735373485
12,0.02200919594501427
13,0.12864694559902812
14,0.2105709398628288
15,0.275222971787234
16,0.24502333996955836
17,0.3844023569456996
18,0.33867525532347276
19,0.3843004454065329
20,0.3549586612499414
21,0.10830726388854889
22,0.07008082199344048
23,0.2458863131973681
24,0.38447305734447307
25,0.14700746283098504
26,0.06050230795678091
27,0.017244646349990813
28,0.1883719517997765
29,0.23517426931793306
30,0.2767331784876538
31,0.15446461693417468
32,0.028072322530337687
33,0.12152075349384579
34,0.2942339676655027
35,0.10974968049028924
36,0.14471748956520963
37,0.1383557207131411
38,0.24571576683554203
39,0.005168495574797177
40,0.07995255770396803
41,0.08012065986808099
42,0.17658411295938936
43,0.07147295816658059
44,0.02403793829298813
45,0.0387498551896517
46,0.1499615831734425
47,0.01706525595598106
48,0.17253746317467852
49,0.10242906734672216
50,0.07982972564553757
51,0.07461518685489506
52,0.21268374981665913
53,0.09149440422649435
54,0.1413177499468239
55,0.24506847726718994
56,0.38888543682916565
57,0.31200377283672576
58,0.11774269701165313
59,0.0516340321604881
60,0.07858071788041351
61,0.14421740974586522
62,0.06723115606069686
63,0.24195493926179468
64,0.19768654322453247
65,0.20084719659393557
66,0.1523023902298904
67,0.010464866183854005
68,0.005001297647090475
69,0.028416386099847132
70,0.07285190067922159
71,0.03791984418990127
72,0.1848077076823243
73,0.2760405309160522
74,0.3342945177789977
75,0.06971926600335532
76,0.03651279622074726
77,0.045557544212330464
78,0.005328112249383142
79,0.17672446550780127
80,0.14688823768129583
81,0.010381041370242497
82,0.15242074466441385
83,0.1377835751114426
84,0.2184361160214743
85,0.1580076128570692
86,0.17138707619874566
87,0.1865054420779986
88,0.1645958719575366
89,0.07010786517329123
90,0.0011977220433847316
91,0.006988132743614124
92,0.0037023192233459636
93,0.12302608730781955
94,0.07042113629570354
95,0.09166715303409312
96,0.0978768683386261
97,0.08577280808010171
98,0.1922742068130732
99,0.05364305571182769
100,0.14514915467034145
101,0.07805668629380193
102,0.2557690969888177
103,0.37132162246949507
104,0.22781188780011322
105,0.045551577330452175
106,0.13432364582943937
107,0.01911603156072486
108,0.1341318503027784
109,0.25170902458355265
110,0.23515156797821865
111,0.059005757958008
112,0.14160540000005667
113,0.2380685980995202
114,0.22208740679598582
115,0.36821609438399383
116,0.30506446983908353
117,0.31525086931633645
118,0.2703200434348036
119,0.1316200638737337
120,0.19613027637151492
121,0.2896462426082407
122,0.22076483446738743
123,0.312761657696371
124,0.42240317474475786
125,0.40015339415720835
126,0.27020188166477616
127,0.3723660544140772
128,0.1076550364041084
129,0.06824316369172494
130,0.016675787157399043
131,0.09518288086672025
132,0.05976265825474193
133,0.03972406250092239
134,0.16107494166814396
135,0.32053270993080024
136,0.1296103005934854
137,0.06142878446118172
138,0.16550663054823733
139,0.1283589120671193
140,0.057240270488712636
141,0.2215075892450831
142,0.3206118339386902
143,0.17904411528425052
144,0.3303966162877561
145,0.1837596728794102
146,0.07550606204157827
147,0.09074323474848528
148,0.030553791742108066
149,0.083845600633389
150,0.07371628728646841
151,0.17809737291163513
152,0.08125025215435677
153,0.016187735460928637
154,0.016499686799899105
155,0.20270984390379596
156,0.3092803008970341
157,0.11603107878871474
158,0.12093709112904388
159,0.28163012297556234
160,0.3530697426255688
161,0.4339429533839937
162,0.1505464676926625
163,0.02138041506606414
164,0.01642676284113849
165,0.08439543719393766
166,0.18059650004690037
167,0.33929708720873075
168,0.1517788743432884
169,0.07133970706918058
170,0.10279954219856799
171,0.23088823672827646
172,0.11484885133301971
173,0.09179904996113641
174,0.008131690797830243
175,0.05987765867320885
176,0.11032818392482682
177,0.21061508914578564
178,0.195312022876502
179,0.08658841260245596
180,0.1869660271640829
181,0.2643855437346967
182,0.047113321584530216
183,0.0524954172288848
184,0.06414749226847677
185,0.1428852981155377
186,0.1081077275374278
187,0.16133025489140518
188,0.2820214848997096
189,0.16315711383609557
190,0.30340067982632735
191,0.3778009719226476
192,0.37202280542762345
193,0.18283016289442428
194,0.29273147326216825
195,0.06346254614267402
196,0.13357484364709654
197,0.2651498757118318
