step,residual
0,0.11070441415719419
1,0.2390427468658971
2,0.06049334762390246
3,0.07858700244211639
4,0.2265843966161471
5,0.3533253478630701
6,0.30920200482550175
7,0.4323633404836075
8,0.3429163791111179
9,0.45113353337901163
10,0.4146312599381751
11,0.3173522062278645
12,0.4249072503152745
13,0.27955201103627814
14,0.2941085028957576
15,0.2863277852263136
16,0.17349684061057724
17,0.1061574070234753
18,0.04152461802923231
19,0.04338757593584042
20,0.187593165517325
21,0.29237249907088503
22,0.3180542847240375
23,0.1110560441597582
24,0.27021176308070405
25,0.02566736822739521
26,0.06186170472160411
27,0.018648184330283826
28,0.16416502951857523
29,0.1823053125770959
30,0.17561373416514514
31,0.038129591620977274
32,0.11010144678861032
33,0.007987956176361194
34,0.012335884510600904
35,0.02435603779457477
36,0.009478247496579034
37,0.06457739127545115
38,0.06595460185190846
39,0.22892321349503372
40,0.35802298080669775
41,0.2673205983615351
42,0.1761085278472207
43,0.06276867576831285
44,0.12471593547541159
45,0.05041837635202602
46,0.06954507719257441
47,0.1614644082391848
48,0.19645786920510594
49,0.027150801816940184
50,0.16092682758935026
51,0.025885090245380465
52,0.0534589434822135
53,0.19554084348378598
54,0.035637264210004044
55,0.05631508267592217
56,0.060373951620831395
57,0.2392739900744297
58,0.1239581057058685
59,0.14484990758601046
60,0.20204171323114867
61,0.03286345594103299
62,0.17094761103382727
63,0.19560963063812936
64,0.23708451303227307
65,0.013935381464706353
66,0.07680918736163488
67,0.05108668485716569
68,0.21874178592890753
69,0.3109805409481426
70,0.2312665652790793
71,0.15113185910794288
72,0.03227391309191316
73,0.1535310656078271
74,0.2761783830628667
75,0.24071867010790832
76,0.17224989646605904
77,0.029967562347097326
78,0.1245947397728419
79,0.056055673071564345
80,0.05610952806398281
81,0.19315153364371257
82,0.04722803152596175
83,0.21420065748824527
84,0.32452220819790345
85,0.39239841499570494
86,0.2377212691421728
87,0.008937845103700104
88,0.0193862133995967
89,0.036789600122432486
90,0.06185307964781482
91,0.2478450223642263
92,0.1626266163984788
93,0.23676685964643862
94,0.3189263963210028
95,0.39477275474035867
96,0.16214107291300017
97,0.18620439219775023
98,0.2654582395797344
99,0.38542754532657764
100,0.48344290761378705
101,0.5453394886069
102,0.4766800579574108
103,0.4243924836094212
104,0.22036473840891055
105,0.026486517073337823
106,0.09079858262375887
107,0.232452070122188
108,0.0075588133872664665
109,0.07652708368961372
110,0.10825876671534206
111,0.092803586600585
112,0.2714839579623536
113,0.06632405867476085
114,0.0012753772488783427
115,0.06206448337762206
116,0.14874848407926675
117,0.2595785931310568
118,0.05792992355531759
119,0.23614358417779582
120,0.24347089852840828
121,0.35419097161368807
122,0.4228468043791793
123,0.5381841307428008
124,0.6095170630381339
125,0.5515921895375697
126,0.4300299752547332
127,0.5332069836349191
128,0.4092966165550896
129,0.46879627768443544
130,0.3637340641306985
131,0.11059302215467792
132,0.2792361293056431
133,0.3588134592339419
134,0.15550861613852937
135,0.21850413622395148
136,0.23774897368196046
137,0.349324132246301
138,0.4451054411745746
139,0.36255049037315196
140,0.30364460863454806
141,0.1469664787573528
142,0.009759994324267038
143,0.13023942937368066
144,0.24524306299760873
145,0.39016487063444333
146,0.4367363952169927
147,0.23860578541486824
148,0.12275062635099954
149,0.20697566444161214
150,0.03239734536702424
151,0.027402207001909075
152,0.11747568670978248
153,0.015501835004705228
154,0.1329285441121034
155,0.005472235511822299
156,0.058523434264711405
157,0.13518150511676413
158,0.3033604273745554
159,0.41749682241014124
160,0.3128885290348024
161,0.43291685376437705
162,0.42334225969155104
163,0.24234355306034347
164,0.10564225806788671
165,0.10431136337686485
166,0.1412240733595086
167,0.10592376899020467
168,0.1940432191795298
169,0.03958040293551328
170,0.1602556350133812
171,0.13699141017310487
172,0.009536944206300538
173,0.10529159827419558
174,0.24814413364004567
175,0.2627495669939942
176,0.04411104817534742
177,0.155146336480142
178,0.1853082863205172
179,0.14003599956102908
180,0.27215213480246897
181,0.0994710531524644
182,0.04174069211030158
183,0.029514763406166718
184,0.2157341881037456
185,0.30319154189315134
186,0.10102295701207073
187,0.20341915842253505
188,0.3246761650313238
189,0.12020121217765498
190,0.05302368333873028
191,0.17441748268222604
192,0.04961451989209473
193,0.1390271866722814
194,0.0717764764849057
195,0.015756579215703816
196,0.20126817896542637
197,0.2813439707310175
198,0.158082056530658
199,0.16104051249091106
200,0.025048167016062675
201,0.0627748053190623
202,0.14948591970906833
203,0.010873364958833773
204,0.15739586316282866
205,0.29936661255323366
206,0.25012570888220914
207,0.25997043497529954
208,0.3963324188753454
209,0.16945947590405652
210,0.07573058558624637
211,0.06617237662212341
212,0.0768879363437214
213,0.2540284019128091
214,0.19382008729538078
215,0.1423260848619311
216,0.11320129144145229
217,0.07652740058390389
218,0.029473228750749182
219,0.18529729281741528
220,0.18157734307067222
221,0.12852626904523126
222,0.04433462481748858
223,0.11210282954461581
224,0.1220772425338752
225,0.1939158759190161
226,0.006563911084693147
227,0.19776918170558652
228,0.0338545936325636
229,0.08369965585267508
230,0.0003266179316180201
231,0.006457867573605769
232,0.18640546426892274
233,0.07251710105591194
234,0.058013680844729555
235,0.04641094467578365
236,0.03712875574062692
237,0.02970300459250154
238,0.02376240367400123
239,0.019009922939200986
240,0.01520793835136079
241,0.012166350681088633
242,0.009733080544870907
243,0.007786464435896726
244,0.006229171548717381
245,0.004983337238973905
246,0.003986669791179124
