step,residual
0,0.15628464095149144
1,0.03989442439455729
2,0.09442659279120139
3,0.0424803249360062
4,0.16291456908552324
5,0.05338501046021957
6,0.2113986123266795
7,0.28496401982761854
8,0.1814531393077783
9,0.27491201020927525
10,0.08620452164293255
11,0.10327855887525467
12,0.028962190799953942
13,0.03647598208196348
14,0.07628192844615905
15,0.22706554189800093
16,0.3646777881756258
17,0.27611570241563343
18,0.3538951749797776
19,0.34861569312132024
20,0.3989186074215999
21,0.4397799045671421
22,0.31325893588509224
23,0.1898479258677978
24,0.23156167334049538
25,0.1447449602943821
26,0.09672724953125621
27,0.008647866451372777
28,0.12810947260174474
29,0.048488424715248064
30,0.03144881015414364
31,0.08632815359912535
32,0.03205052387572811
33,0.056559517279640585
34,0.09271690184437711
35,0.0843508922904383
36,0.02657681095605588
37,0.03839841414868872
38,0.019339491804518393
39,0.17431280875039132
40,0.024910446748004245
41,0.15930028266720228
42,0.18574290074705507
43,0.1707583963493703
44,0.24700544765152815
45,0.31377539993413506
46,0.22388780455294494
47,0.223427540783884
48,0.10445519627853032
49,0.2028596872486922
50,0.014483951325588246
51,0.16169755522155066
52,0.22644298287690512
53,0.1535641542729644
54,0.09949938648677918
55,0.13855593338191055
56,0.019296429234427245
57,0.08543525300469171
58,0.1903438169392619
59,0.31179082489441373
60,0.23150686094326992
61,0.2798050325161079
62,0.22170785128532533
63,0.0024600300046195844
64,0.10816049691013618
65,0.1400964968519728
66,0.025697034381575792
67,0.07587515958920132
68,0.0326779495206599
69,0.19855000771157372
70,0.3112942748235959
71,0.2915925423187866
72,0.20409630362022796
73,0.18509117806008327
74,0.29910611461933106
75,0.37269528664134866
76,0.17490242617750223
77,0.26791399599578947
78,0.08237730264650797
79,0.11053824811102218
80,0.016661309959178333
81,0.10885807234518027
82,0.1299062689092551
83,0.03314607382367954
84,0.10959260862197623
85,0.06654555087328126
86,0.05960985988844796
87,0.1710791909251191
88,0.04991231684190858
89,0.0004543505078254059
90,0.07110874780862322
91,0.11574929847713336
92,0.15367932420356933
93,0.20083231204295685
94,0.01106726498631
95,0.10346675538755444
96,0.10122168355712396
97,0.2581677339733231
98,0.12931020604627244
99,0.15997062791278283
100,0.1679549951627679
101,0.053541397291537784
102,0.11416420745091807
103,0.012269388010469423
104,0.022131473253534373
105,0.15406807183282512
106,0.15624345297553408
107,0.07503527288714087
108,0.10452516882736468
109,0.07275582116284816
110,0.14812076252335055
111,0.018007825317197967
112,0.04859442446715643
113,0.038738830423293465
114,0.13467642643941402
115,0.017503615512380055
116,0.0913124609078868
117,0.03198777933121466
118,0.15373022081504692
119,0.019388092907865778
120,0.03910933083150845
121,0.01708976918071696
122,0.03764563620931502
123,0.14998621830428746
124,0.2625613199987066
125,0.05123453838386399
126,0.07297544373064535
127,0.22995286819757443
128,0.19794961023782334
129,0.04334741009732358
130,0.15100107643865607
131,0.05829807727949593
132,0.14942817585810841
133,0.27406897204733716
134,0.16345820141633105
135,0.17925259959273396
136,0.14169104316741568
137,0.030182981966399042
138,0.12003736923713604
139,0.23109994444597542
140,0.0685896956209089
141,0.24652935280092975
142,0.10314753208990501
143,0.03641065753373378
144,0.030592925174816363
145,0.19055633751427914
146,0.011698299110671107
147,0.18430380998587378
148,0.14893659049222407
149,0.06270746595689869
150,0.007527318073746375
151,0.04240504423135219
152,0.03625277625104853
153,0.19203979618394318
154,0.24073270342984046
155,0.06054628223323333
156,0.11058012644836858
157,0.028422510512260177
158,0.006749668946574482
159,0.19537668159699143
160,0.055364612649181744
161,0.02499991138030335
162,0.14207426910809628
163,0.09804291703250612
164,0.19812377566649586
165,0.24284360616833522
166,0.2533888584398865
167,0.303439956854144
168,0.23198548832930574
169,0.20622795464613497
170,0.09630188017154506
171,0.19228056530119955
172,0.022627754040974807
173,0.14763309782869743
174,0.01631878274483206
175,0.04404519642329801
176,0.20004827019924548
177,0.008645776532864413
178,0.12817791360477523
179,0.041011478025064885
180,0.057675420407902814
181,0.04252256065831772
182,0.07471779287498378
183,0.0010409688107615236
184,0.15314089124639926
185,0.10242874634452107
186,0.09891313318026873
187,0.15077055073516277
188,0.2954611848191906
189,0.04744583927808424
190,0.017681474164315092
191,0.0503926651361784
192,0.17961144058217382
193,0.02680157118103857
194,0.06256499441966915
195,0.0007833760528545425
196,0.11973441996597428
197,0.08277297484086367
198,0.037568618493779876
199,0.14731601677575845
200,0.015418262888397524
201,0.08336934869374145
202,0.04024359146115494
203,0.019173047352953734
204,0.09558257228997429
205,0.06410240541699444
206,0.12708914085447917
207,0.0901801380423991
208,0.19772377026298865
209,0.268776872548848
210,0.3828492861635405
211,0.2650937046727977
212,0.3232480991232281
213,0.395411993477896
214,0.2604524381581568
215,0.02181733087485979
216,0.1418235959826845
217,0.284067059260948
218,0.35375085889629565
219,0.21313221235521917
220,0.17181100143310318
221,0.26795736105291335
222,0.2628519273019998
223,0.1519788672283066
224,0.05061123350489098
225,0.16113400543377493
226,0.11329070609304903
227,0.1503540160762426
228,0.1545981544219027
229,0.22461525616593359
230,0.007055908208714934
231,0.14501665183577084
232,0.062352665168366884
233,0.07137916024379021
234,0.057103328195032166
235,0.04568266255602574
236,0.036546130044820595
237,0.02923690403585648
238,0.023389523228685184
239,0.018711618582948147
240,0.014969294866358519
241,0.011975435893086816
242,0.009580348714469453
243,0.007664278971575563
244,0.006131423177260451
245,0.004905138541808361
246,0.003924110833446689
